Time/s,ABS III_Q_flow_sph/kW,ABS III_Q_flow_dhw/kW,ABS III_Q_flow_tot/kW,ABS II_Q_flow_sph/kW,ABS II_Q_flow_dhw/kW,ABS II_Q_flow_tot/kW,ABS I_Q_flow_sph/kW,ABS I_Q_flow_dhw/kW,ABS I_Q_flow_tot/kW
482400,1869.89186535711,367.381724292491,2237.2735896496,859.901574837921,38.0824251620791,897.984,576.637379143544,18.8819042712451,595.519283414789
486000,1728.73289695183,258.46869021768,1987.20158716951,828.178741090296,29.2788839097045,857.457625,563.34343709174,12.3275166735602,575.6709537653
489600,1785.03794732299,182.011847506582,1967.04979482957,790.331798804157,22.0479511958435,812.37975,547.255596875005,9.70691840016,556.962515275165
493200,1870.83136637713,154.39336860607,2025.2247349832,791.585301894445,21.0377606055552,812.6230625,546.240760581871,9.45935457405571,555.700115155927
496800,1983.58233908502,171.025152246393,2154.60749133141,810.771263286684,19.1111742133158,829.8824375,552.247494840347,10.2534951458646,562.500989986212
500400,2650.00389653214,252.59492263435,2902.59881916649,897.223352394934,36.4126476050656,933.636,659.802161228766,17.6429370947084,677.445098323474
504000,3053.46556623325,288.916285811104,3342.38185204436,1033.85020377875,49.6385462212476,1083.48875,795.412627509609,32.69906879749,828.111696307099
507600,3246.19683446594,231.51137798078,3477.70821244672,1044.64157160672,49.3291783932768,1093.97075,878.017404304978,33.214632991455,911.232037296433
511200,3425.9888540003,49.93887368349,3475.92772768379,1095.86968940556,12.9820605944387,1108.85175,940.006472845112,11.053939386405,951.060412231517
514800,3539.93069812509,25.00378665753,3564.93448478262,1144.25800557724,8.20961942275707,1152.467625,987.450186654002,6.751490363765,994.201677017767
518400,3661.07653854289,13.0296363209999,3674.10617486389,1198.50456688534,4.10193311466344,1202.6065,1027.92937233647,3.5259705,1031.45534283647
522000,3769.11130886126,6.262863867,3775.37417272826,1243.37330635799,2.09119364201034,1245.4645,1064.32601776936,1.6948035,1066.02082126936
525600,3831.64552892926,0.0479912939999999,3831.69352022325,1279.86203623228,0.0149637677215136,1279.877,1096.27277498779,0.012987,1096.28576198779
529200,3885.59916078646,2.471551641,3888.07071242746,1315.33009768696,0.822777313043729,1316.152875,1125.80938738295,0.6688305,1126.47821788295
532800,3943.92461581267,43.3558271468539,3987.28044295952,1348.60216539773,4.96158460226932,1353.56375,1153.68302888491,1.62806052991568,1155.31108941483
536400,4003.61990559233,2.495547288,4006.11545288033,1551.22664515789,0.818229842111372,1552.044875,1179.01593774461,0.675324,1179.69126174461
540000,4052.70239674616,191.243291938292,4243.94568868445,1657.67912653837,18.2433734616349,1675.9225,1202.44930575503,1.8050026043341,1204.25430835936
543600,3366.39028670898,455.327188309999,3821.71747501898,1425.88103527638,75.0134647236227,1500.8945,1098.27183147225,46.2795693219243,1144.55140079417
547200,2803.72962063703,147.149479430341,2950.87910006737,1270.28794403484,25.5186809651609,1295.806625,956.25040535776,15.1558532702898,971.40625862805
550800,2563.07492044291,109.459099305222,2672.53401974814,1154.05870082066,19.2302991793358,1173.289,869.66997867726,10.8055948467801,880.47557352404
554400,2420.32079556232,97.2181908230703,2517.53898638539,1084.57238016694,18.7798698330578,1103.35225,797.267793555444,13.7194932274429,810.987286782887
558000,2305.52225327762,154.678786238453,2460.20103951607,1018.73335373279,34.0147712672096,1052.748125,735.071047596186,27.7194544672478,762.790502063434
561600,2217.152312217,125.526162500664,2342.67847471766,966.538320741194,29.8433667588059,996.3816875,692.415497990047,22.61423124757,715.029729237617
565200,2267.75807825482,132.480850453091,2400.23892870791,957.076937498966,29.1313125010345,986.20825,665.007607395651,22.14024224508,687.147849640731
568800,2244.31697373974,182.571859196086,2426.88883293583,920.814412673034,30.7007748269659,951.5151875,643.166005020286,17.761503696546,660.927508716832
572400,2117.38819942068,69.6347290015518,2187.02292842223,887.232649047096,14.6881634529037,901.9208125,632.857305694519,11.143335983985,644.000641678504
576000,2048.8638187791,121.600892956293,2170.4647117354,866.036964106127,18.2147858938728,884.25175,622.10073395014,11.3833214405084,633.484055390649
579600,2034.31501834179,344.290090311428,2378.60510865321,871.168697944284,30.2157395557156,901.3844375,605.754147251981,11.417721396734,617.171868648715
583200,2209.23947763882,151.556311957643,2360.79578959646,888.954369441206,22.9716305587939,911.926,611.996900630688,11.1770277594176,623.173928390106
586800,2917.96359262572,188.284324976555,3106.24791760227,1006.92626358256,25.6953614174355,1032.621625,728.209231945772,16.7154388965709,744.924670842343
590400,3388.43080330761,206.291702354965,3594.72250566257,1143.63558692683,49.0092880731727,1192.644875,878.005695417044,34.8401606325648,912.845856049609
594000,3645.37336146574,148.99651973843,3794.36988120417,1176.78814059841,41.0618594015931,1217.85,974.501238195839,33.2499987519035,1007.75123694774
597600,3854.76043960141,43.0194700496999,3897.77990965111,1240.57148571016,13.5038892898428,1254.075375,1043.57664736283,11.08465725017,1054.661304613
601200,3991.92772571094,25.0136564163,4016.94138212724,1299.21707437796,8.32130062204098,1307.538375,1095.13811710511,6.76272772753,1101.90084483264
604800,4112.6791186963,13.1256189089999,4125.8047376053,1352.27523519563,4.26401480436667,1356.53925,1138.3591912253,3.55194449999999,1141.9111357253
608400,4227.65920530769,6.262863867,4233.92206917469,1398.79976877726,1.98423122273771,1400.784,1177.04314378413,1.6948035,1178.73794728413
612000,4312.37187609063,0.0719869409999999,4312.44386303163,1443.29971953686,0.0235304631367595,1443.32325,1215.52774081377,0.0194805,1215.54722131377
615600,4344.19132768281,2.447555994,4346.63888367681,1475.48620909764,0.822165902361403,1476.308375,1248.61847941997,0.662337,1249.28081641997
619200,4369.56588151778,21.2875039238239,4390.85338544161,1506.48979684431,2.65582815568834,1509.145625,1276.18524072667,1.48286076495784,1277.66810149163
622800,4436.42347949946,190.587295988586,4627.01077548804,1718.29840989718,18.2335901028199,1736.532,1304.36214054154,2.42421467949408,1306.78635522103
626400,4497.39165256145,161.735552438783,4659.12720500024,1829.37055452794,14.0523204720549,1843.422875,1332.2245260404,1.94752709518687,1334.17205313559
630000,3793.1007585089,391.101519793004,4184.2022783019,1583.15945752661,62.5650424733949,1645.7245,1229.54711005615,37.2188266416451,1266.7659366978
633600,3237.35109559257,171.258078096184,3408.60917368875,1451.70983047537,25.1336695246328,1476.8435,1092.66327856126,15.2490969694326,1107.91237553069
637200,2999.97190218165,153.021326543654,3152.9932287253,1344.23604901415,21.3722009858468,1365.60825,1014.48816072546,10.7935933434063,1025.28175406887
640800,2858.65990990884,252.505527163386,3111.16543707223,1282.80065963404,39.3492153659644,1322.149875,950.524451839726,18.742630838668,969.267082678394
644400,2698.94167652165,290.526429117027,2989.46810563868,1204.41992300625,49.7210769937546,1254.141,883.847258822243,29.9835685936616,913.830827415905
648000,2594.81754458959,279.392735927003,2874.21028051659,1150.86685324685,45.2615217531464,1196.128375,836.437801862814,22.62721824757,859.065020110384
651600,2622.08487295925,355.0926766182,2977.17754957745,1145.24325992017,45.3466150798292,1190.589875,805.345701266048,22.4371352749956,827.782836541044
655200,2597.88258055501,510.366749279325,3108.24932983433,1110.58950446934,49.340870530665,1159.930375,771.874793163836,16.70290981515,788.577702978986
658800,2462.50354134883,258.504325826071,2721.0078671749,1038.7183464217,30.2436535783006,1068.962,733.411278001901,11.1657645335272,744.577042535428
662400,2414.07511677679,319.560472586515,2733.63558936331,1023.71639041359,37.9421095864127,1061.6585,726.741454933606,13.0321463362865,739.773601269892
666000,2439.51866629829,209.984080672086,2649.50274697037,1033.94216399677,21.556336003229,1055.4985,725.568928271095,11.7256309096229,737.294559180718
669600,2551.46901666338,180.344005970401,2731.81302263378,1041.53116979226,21.7299552077413,1063.261125,730.035457688728,11.0005219230207,741.035979611749
